%###############################################################
%               Frequency                        |S11|
%                                            insertion loss
%                 (GHz)                           (dB)
%###############################################################
                  29.715                      -1.8675381
                  29.718                      -1.8676788
                  29.721                      -1.8678201
                  29.724                      -1.8679621
                  29.727                      -1.8681047
                   29.73                      -1.8682479
                  29.733                      -1.8683917
                  29.736                      -1.8685362
                  29.739                      -1.8686812
                  29.742                      -1.8688269
                  29.745                      -1.8689731
                  29.748                      -1.8691199
                  29.751                      -1.8692673
                  29.754                      -1.8694153
                  29.757                      -1.8695638
                   29.76                      -1.8697129
                  29.763                      -1.8698625
                  29.766                      -1.8700127
                  29.769                      -1.8701634
                  29.772                      -1.8703146
                  29.775                      -1.8704664
                  29.778                      -1.8706187
                  29.781                      -1.8707715
                  29.784                      -1.8709248
                  29.787                      -1.8710786
                   29.79                      -1.8712329
                  29.793                      -1.8713877
                  29.796                       -1.871543
                  29.799                      -1.8716988
                  29.802                       -1.871855
                  29.805                      -1.8720118
                  29.808                      -1.8721689
                  29.811                      -1.8723266
                  29.814                      -1.8724847
                  29.817                      -1.8726432
                   29.82                      -1.8728022
                  29.823                      -1.8729617
                  29.826                      -1.8731216
                  29.829                      -1.8732819
                  29.832                      -1.8734427
                  29.835                      -1.8736039
                  29.838                      -1.8737656
                  29.841                      -1.8739277
                  29.844                      -1.8740902
                  29.847                      -1.8742532
                   29.85                      -1.8744166
                  29.853                      -1.8745804
                  29.856                      -1.8747447
                  29.859                      -1.8749094
                  29.862                      -1.8750745
                  29.865                      -1.8752401
                  29.868                      -1.8754061
                  29.871                      -1.8755726
                  29.874                      -1.8757395
                  29.877                      -1.8759069
                   29.88                      -1.8760748
                  29.883                      -1.8762431
                  29.886                      -1.8764119
                  29.889                      -1.8765811
                  29.892                      -1.8767509
                  29.895                      -1.8769211
                  29.898                      -1.8770918
                  29.901                      -1.8772631
                  29.904                      -1.8774349
                  29.907                      -1.8776072
                   29.91                      -1.8777801
                  29.913                      -1.8779535
                  29.916                      -1.8781275
                  29.919                      -1.8783021
                  29.922                      -1.8784773
                  29.925                      -1.8786531
                  29.928                      -1.8788295
                  29.931                      -1.8790066
                  29.934                      -1.8791843
                  29.937                      -1.8793628
                   29.94                      -1.8795419
                  29.943                      -1.8797218
                  29.946                      -1.8799024
                  29.949                      -1.8800838
                  29.952                       -1.880266
                  29.955                      -1.8804491
                  29.958                      -1.8806329
                  29.961                      -1.8808177
